Pack,Ticker,Wgt
ETF Selection,ACWI,0.2500
ETF Selection,SLV,0.2500
ETF Selection,GLD,0.2500
ETF Selection,XLF,0.2500
AI Ecosystem,VST,0.1667
AI Ecosystem,VRT,0.1667
AI Ecosystem,NRG,0.1667
AI Ecosystem,GEV,0.1667
AI Ecosystem,ETN,0.1667
AI Ecosystem,EME,0.1667
Barron's 10,ASML,0.1000
Barron's 10,BABA,0.1000
Barron's 10,UBER,0.1000
Barron's 10,BRK.B,0.1000
Barron's 10,C,0.1000
Barron's 10,EG,0.1000
Barron's 10,MRNA,0.1000
Barron's 10,SLB,0.1000
Barron's 10,LVMHF,0.1000
Barron's 10,GOOGL,0.1000
C Wood Health,RXRX,0.2000
C Wood Health,CRSP,0.2000
C Wood Health,TEM,0.2000
C Wood Health,TWST,0.2000
C Wood Health,BEAM,0.2000
Crypto Complex,COIN,0.3333
Crypto Complex,IBIT,0.3333
Crypto Complex,ETHA,0.3333
Dollar Hedge,SLV,0.3500
Dollar Hedge,GLD,0.3500
Dollar Hedge,IBIT,0.3000
Global Equity,SPY,0.3000
Global Equity,ACWI,0.1000
Global Equity,GRNY,0.1000
Global Equity,XLF,0.1000
Global Equity,IBIT,0.1000
Global Equity,TSLA,0.0500
Global Equity,GOOGL,0.0500
Global Equity,CSCO,0.0500
Global Equity,WMT,0.0500
Global Equity,MCD,0.0500
Global Equity,NVDA,0.0500
Int. Artificial,URA,0.1250
Int. Artificial,ASML,0.1250
Int. Artificial,ARM,0.1250
Int. Artificial,TSM,0.1250
Int. Artificial,NVDA,0.1250
Int. Artificial,MSFT,0.1250
Int. Artificial,META,0.1250
Int. Artificial,GOOGL,0.1250
Nuclear,ASPN,0.1429
Nuclear,ERII,0.1429
Nuclear,ELVA,0.1429
Nuclear,PLUG,0.1429
Nuclear,SMR,0.1429
Nuclear,OKLO,0.1429
Nuclear,HASI,0.1429
NVDA Portfolio,WRD,0.2000
NVDA Portfolio,NBIS,0.2000
NVDA Portfolio,RXRX,0.2000
NVDA Portfolio,APLD,0.2000
NVDA Portfolio,ARM,0.2000
Quant Selection - Q3 2025,PM,0.2000
Quant Selection - Q3 2025,NVDA,0.2500
Quant Selection - Q3 2025,IBM,0.1300
Quant Selection - Q3 2025,GE,0.1100
Quant Selection - Q3 2025,JPM,0.0600
Quant Selection - Q3 2025,WMT,0.2500
Quant Selection -2025,PM,0.0700
Quant Selection -2025,NVDA,0.2000
Quant Selection -2025,IBM,0.0500
Quant Selection -2025,GE,0.0500
Quant Selection -2025,LLY,0.2500
Quant Selection -2025,ABBV,0.1300
Quant Selection -2025,COST,0.1900
Quant Selection -2025,TMUS,0.0600
Quant Selection Total,PM,0.2000
Quant Selection Total,NVDA,0.2500
Quant Selection Total,IBM,0.1300
Quant Selection Total,GE,0.1100
Quant Selection Total,JPM,0.0600
Quant Selection Total,WMT,0.2500
S Alpha-Best AI,DOCU,0.2000
S Alpha-Best AI,PRLB,0.2000
S Alpha-Best AI,CLS,0.2000
S Alpha-Best AI,TWLO,0.2000
S Alpha-Best AI,FRSH,0.2000
Semiconductores,NVDA,0.1667
Semiconductores,AVGO,0.1667
Semiconductores,ASML,0.1667
Semiconductores,AMD,0.1667
Semiconductores,QCOM,0.1667
Semiconductores,TSMC,0.1667
Trump Industrials,AME,0.2500
Trump Industrials,ETN,0.2500
Trump Industrials,GEV,0.2500
Trump Industrials,ROK,0.2500
Witmer 2025,SPRY,0.2000
Witmer 2025,DLTR,0.2000
Witmer 2025,EPD,0.2000
Witmer 2025,JBTM,0.2000
Witmer 2025,OI,0.2000
Quant Selection - Q4 2025,PM,0.1200
Quant Selection - Q4 2025,NVDA,0.3000
Quant Selection - Q4 2025,IBM,0.1000
Quant Selection - Q4 2025,GE,0.1600
Quant Selection - Q4 2025,JPM,0.1100
Quant Selection - Q4 2025,VST,0.2100